Record,Location,X,Y,Date,Time,Environment,Road_Surface,Traffic_Control,Collision_Location,Light,Collision_Classification,Impact_type
1,105 S OF COMMISSIONER ST @ ALBERT ST,366666.2747,5030879.415,8/4/16,17:03,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe
2,210 W OF MERIVALE RD @ WEST HUNT CLUB RD,365431.439,5021830.23,3/30/16,15:44,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,05 - Turning movement
3,210 W OF MERIVALE RD @ WEST HUNT CLUB RD,365432.2342,5021829.655,9/2/16,16:02,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement
4,210 W OF MERIVALE RD @ WEST HUNT CLUB RD,365430.7265,5021830.451,3/12/16,17:30,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement
5,210 W OF MERIVALE RD @ WEST HUNT CLUB RD,365430.6658,5021830.963,8/23/16,15:52,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
6,210 W OF MERIVALE RD @ WEST HUNT CLUB RD,365431.8358,5021829.217,7/6/16,16:19,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
7,225 E OF RIVERSIDE DR / T & T SC @ HUNT CLUB RD,368235.6976,5022055.979,6/14/16,23:46,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,02 - Non-fatal injury,03 - Rear end
8,225 E OF RIVERSIDE DR / T & T SC @ HUNT CLUB RD,368235.6976,5022055.979,7/6/16,20:07,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end
9,225 E OF RIVERSIDE DR / T & T SC @ HUNT CLUB RD,368235.6976,5022055.979,1/19/16,17:19,03 - Snow,03 - Loose snow,01 - Traffic signal,03 - At intersection,05 - Dusk,03 - P.D. only,05 - Turning movement
10,240 S OF CHARLEMAGNE BLVD/DES EPINETTES AVE @ TENTH LINE RD,383736.1826,5036677.455,1/6/16,15:57,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end
11,240 S OF CHARLEMAGNE BLVD/DES EPINETTES AVE @ TENTH LINE RD,383736.1826,5036677.455,6/24/16,14:18,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
12,240 S OF CHARLEMAGNE BLVD/DES EPINETTES AVE @ TENTH LINE RD,383736.1826,5036677.455,7/17/16,16:38,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
13,275 E OF HAWTHORNE RD/OC TRANSPO TURNAROUND @ HUNT CLUB RD,375721.2322,5026539.337,6/14/16,5:38,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,03 - Dawn,02 - Non-fatal injury,02 - Angle
14,2ND LINE RD @ OSGOODE MAIN ST,376058.0625,5001706.544,8/12/16,15:04,02 - Rain,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle
15,2ND LINE RD @ OSGOODE MAIN ST,376056.327,5001708.308,7/4/16,20:09,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle
16,2ND LINE RD @ OSGOODE MAIN ST,376058.0625,5001706.105,11/27/16,13:56,01 - Clear,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
17,2ND LINE RD N @ DALMENY RD N,377277.3028,4998872.028,9/6/16,7:39,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle
18,400 E OF TRAINYARDS DR @ INDUSTRIAL AVE,372091.6332,5030434.623,6/3/16,18:33,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement
19,400 E OF TRAINYARDS DR @ INDUSTRIAL AVE,372091.6332,5030434.623,7/29/16,8:31,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,99 - Other
20,55 S OF RIDEAU ST @ COLONEL BY DR,367938.6397,5031987.914,4/6/16,17:45,03 - Snow,04 - Slush,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
21,5TH LINE RD btwn SPRINGHILL RD & DEVEREAUX RD,381085.7874,5006022.765,11/26/16,17:44,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other
22,8TH LINE RD @ MITCH OWENS RD,382362.5764,5018775.131,1/29/16,11:20,03 - Snow,02 - Wet,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe
23,8TH LINE RD @ MITCH OWENS RD,382362.1195,5018775.6,4/8/16,7:19,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
24,8TH LINE RD @ PARKWAY RD,383165.1359,5016891.68,6/26/16,12:21,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle
25,8TH LINE RD @ PARKWAY RD,383168.8504,5016894.285,5/20/16,18:19,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle
26,8TH LINE RD @ VICTORIA ST,385452.7184,5011165.671,9/21/16,16:26,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
27,8TH LINE RD @ VICTORIA ST,385451.9695,5011164.176,5/29/16,10:30,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
28,8TH LINE RD btwn BYRON ST & UNITED AVE,385525.5932,5010978.176,1/17/16,10:23,01 - Clear,04 - Slush,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,05 - Turning movement
29,8TH LINE RD btwn FOREST GREEN CRES & PANA RD,384396.2117,5013941.896,10/28/16,19:09,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,07 - Dark,03 - P.D. only,02 - Angle
30,8TH LINE RD btwn MITCH OWENS RD & RODNEY FARM DR,383027.6206,5017219.767,9/2/16,8:38,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other
31,8TH LINE RD btwn MITCH OWENS RD & RODNEY FARM DR,382563.866,5018314.358,11/1/16,14:44,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,03 - Rear end
32,8TH LINE RD btwn SPRINGHILL RD & MARVELVILLE RD,387020.4814,5007061.781,11/8/16,14:45,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,02 - Non-fatal injury,03 - Rear end
