Geographic code,Geographic name,Province,Region,Type,pop_2011,log_pop_2011,pop_rank_2011,priv_dwell_2011,occ_private_dwell_2011,occ_rate_2011,med_total_income_2011
1,St. John's,NL,Atlantic,CMA,196966,5.294391265,20,84542,78960,0.933973646,33420
5,Bay Roberts,NL,Atlantic,CA,10871,4.036269496,147,4601,4218,0.916757227,24700
10,Grand Falls-Windsor,NL,Atlantic,CA,13725,4.137512353,128,6134,5723,0.932996413,26920
15,Corner Brook,NL,Atlantic,CA,27202,4.434600836,94,11697,11110,0.949816192,27430
105,Charlottetown,PE,Atlantic,CA,64487,4.809472174,52,28864,26192,0.907427938,30110
110,Summerside,PE,Atlantic,CA,16488,4.217167979,120,7323,6941,0.947835587,27250
205,Halifax,NS,Atlantic,CMA,390328,5.591429706,13,177295,165153,0.931515271,33400
210,Kentville,NS,Atlantic,CA,26359,4.42092893,97,11941,11123,0.931496525,25500
215,Truro,NS,Atlantic,CA,45888,4.66169913,67,21708,19492,0.897917818,26710
220,New Glasgow,NS,Atlantic,CA,35809,4.553992193,78,16788,15256,0.908744341,26540
225,Cape Breton,NS,Atlantic,CA,101619,5.006974917,36,46632,42325,0.907638531,25200
305,Moncton,NB,Atlantic,CMA,138644,5.14190108,29,62403,58294,0.934153807,30690
310,Saint John,NB,Atlantic,CMA,127761,5.106398302,31,56775,52281,0.920845443,29910
320,Fredericton,NB,Atlantic,CA,94268,4.974364293,39,41581,39014,0.938265073,32280
328,Bathurst,NB,Atlantic,CA,33484,4.524837333,82,15996,14580,0.911477869,25800
329,Miramichi,NB,Atlantic,CA,28115,4.448938088,90,12823,11765,0.917492007,26720
330,Campbellton,NB,Atlantic,CA,17842,4.251443535,113,8257,7640,0.925275524,22980
335,Edmundston,NB,Atlantic,CA,21903,4.340503603,105,10390,9705,0.934071222,25880
403,Matane,QC,Quebec,CA,18368,4.264061871,111,9469,8636,0.912028725,25810
404,Rimouski,QC,Quebec,CA,50912,4.706820158,62,24620,23021,0.935052803,29910
405,Rivière-du-Loup,QC,Quebec,CA,27734,4.443012511,93,13310,12170,0.914350113,28550
406,Baie-Comeau,QC,Quebec,CA,28789,4.45922658,88,13324,12526,0.940108076,33260
408,Saguenay,QC,Quebec,CMA,157790,5.198079476,26,73766,69507,0.942263373,29560
410,Alma,QC,Quebec,CA,33018,4.518750763,84,14721,14126,0.95958155,28540
411,Dolbeau-Mistassini,QC,Quebec,CA,16019,4.204635401,122,7527,6988,0.928391125,25400
412,Sept-Îles,QC,Quebec,CA,28487,4.454646716,89,12912,12073,0.935021685,33390
421,Québec,QC,Quebec,CMA,765706,5.88406205,7,361447,345892,0.956964645,33760
428,Saint-Georges,QC,Quebec,CA,34642,4.539602957,80,16289,15232,0.935109583,27890
430,Thetford Mines,QC,Quebec,CA,27968,4.446661411,91,13856,12901,0.93107679,24940
433,Sherbrooke,QC,Quebec,CMA,201890,5.305114808,19,99913,91099,0.911783251,27620
437,Cowansville,QC,Quebec,CA,12489,4.096527666,139,5789,5510,0.951805148,25470
