"season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"winter","small","medium",8,9.8,60.8,6.238,578,105,170,50,0,0,0,0,34.2,8.3,0
"spring","small","medium",8.35,8,57.75,1.288,370,428.75,558.75,1.3,1.4,7.6,4.8,1.9,6.7,0,2.1
"autumn","small","medium",8.1,11.4,40.02,5.33,346.66699,125.667,187.05701,15.6,3.3,53.6,1.9,0,0,0,9.7
"spring","small","medium",8.07,4.8,77.364,2.302,98.182,61.182,138.7,1.4,3.1,41,18.9,0,1.4,0,1.4
"autumn","small","medium",8.06,9,55.35,10.416,233.7,58.222,97.58,10.5,9.2,2.9,7.5,0,7.5,4.1,1
"winter","small","high",8.25,13.1,65.75,9.248,430,18.25,56.667,28.4,15.1,14.6,1.4,0,22.5,12.6,2.9
"summer","small","high",8.15,10.3,73.25,1.535,110,61.25,111.75,3.2,2.4,1.2,3.2,3.9,5.8,6.8,0
"autumn","small","high",8.05,10.6,59.067,4.99,205.66701,44.667,77.434,6.9,18.2,1.6,0,0,5.5,8.7,0
"winter","small","medium",8.7,3.4,21.95,0.886,102.75,36.3,71,5.544,25.4,5.4,2.5,0,0,0,0
"winter","small","high",7.93,9.9,8,1.39,5.8,27.25,46.6,0.8,17,0,0,2.9,0,0,1.7
"spring","small","high",7.7,10.2,8,1.527,21.571,12.75,20.75,0.8,16.6,0,0,0,1.2,0,6
"summer","small","high",7.45,11.7,8.69,1.588,18.429,10.667,19,0.6,32.1,0,0,0,0,0,1.5
"winter","small","high",7.74,9.6,5,1.223,27.286,12,17,41,43.5,0,2.1,0,1.2,0,2.1
"summer","small","high",7.72,11.8,6.3,1.47,8,16,15,0.5,31.1,1,3.4,0,1.9,0,4.1
"winter","small","high",7.9,9.6,3,1.448,46.2,13,61.6,0.3,52.2,5,7.8,0,4,0,0
"autumn","small","high",7.55,11.5,4.7,1.32,14.75,4.25,98.25,1.1,69.9,0,1.7,0,0,0,0
"winter","small","high",7.78,12,7,1.42,34.333,18.667,50,1.1,46.2,0,0,1.2,0,0,0
"spring","small","high",7.61,9.8,7,1.443,31.333,20,57.833,0.4,31.8,0,3.1,4.8,7.7,1.4,7.2
"summer","small","high",7.35,10.4,7,1.718,49,41.5,61.5,0.8,50.6,0,9.9,4.3,3.6,8.2,2.2
"spring","small","medium",7.79,3.2,64,2.822,8777.59961,564.59998,771.59998,4.5,0,0,0,44.6,0,0,1.4
"winter","small","medium",7.83,10.7,88,4.825,1729,467.5,586,16,0,0,0,6.8,6.1,0,0
"spring","small","high",7.2,9.2,0.8,0.642,81,15.6,18,0.5,15.5,0,0,2.3,0,0,0
"autumn","small","high",7.75,10.3,32.92,2.942,42,16,40,7.6,23.2,0,0,0,27.6,11.1,0
"winter","small","high",7.62,8.5,11.867,1.715,208.33299,3,27.5,1.7,74.2,0,0,3.7,0,0,0
"spring","small","high",7.84,9.4,10.975,1.51,12.5,3,11.5,1.5,13,8.6,1.2,3.5,1.2,1.6,1.9
"summer","small","high",7.77,10.7,12.536,3.976,58.5,9,44.136,3,4.1,0,0,0,9.2,10.1,0
"winter","small","high",7.09,8.4,10.5,1.572,28,4,13.6,0.5,29.7,0,0,4.9,0,0,0
"autumn","small","high",6.8,11.1,9,0.63,20,4,NA,2.7,30.3,1.9,0,0,2.1,1.4,2.1
"winter","small","high",8,9.8,16,0.73,20,26,45,0.8,17.1,0,19.6,0,0,0,2.5
"spring","small","high",7.2,11.3,9,0.23,120,12,19,0.5,33.9,1,14.6,0,0,0,0
"autumn","small","high",7.4,12.5,13,3.33,60,72,142,4.9,3.4,16,1.2,0,15.3,15.8,0
"winter","small","high",8.1,10.3,26,3.78,60,246,304,2.8,6.9,17.1,20.2,0,4,0,2.9
"summer","small","high",7.8,11.3,20.083,3.02,49.5,53,130.75,5.8,0,8,1.9,0,11.2,42.7,1.2
"autumn","small","medium",8.4,9.9,34.5,2.818,3515,20,47,2.3,13.6,9.1,0,0,1.4,0,0
"winter","small","medium",8.27,7.8,29.2,0.05,6400,7.4,23,0.9,5.3,40.7,3.3,0,0,0,1.9
"summer","small","medium",8.66,8.4,30.523,3.444,1911,58.875,84.46,3.6,18.3,12.4,1,0,0,0,1
"winter","small","high",8.3,10.9,1.17,0.735,13.5,1.625,3,0.2,66,0,0,0,0,0,0
"spring","small","high",8,NA,1.45,0.81,10,2.5,3,0.3,75.8,0,0,0,0,0,0
"winter","small","medium",8.3,8.9,20.625,3.414,228.75,196.62,253.25,12.32,2,38.5,4.1,2.2,0,0,10.2
"spring","small","medium",8.1,10.5,22.286,4.071,178.57001,182.42,255.28,8.957,2.2,2.7,1,3.7,2.7,0,0
"winter","small","medium",8,5.5,77,6.096,122.85,143.71001,296,3.7,0,5.9,10.6,1.7,0,0,7.1
"summer","small","medium",8.15,7.1,54.19,3.829,647.57001,59.429,175.04601,13.2,0,0,0,5.7,11.3,17,1.6
"winter","small","high",8.3,7.7,50,8.543,76,264.89999,344.60001,22.5,0,40.9,7.5,0,2.4,1.5,0
"spring","small","high",8.3,8.8,54.143,7.83,51.429,276.85001,326.85699,11.84,4.1,3.1,0,0,19.7,17,0
"winter","small","high",8.4,13.4,69.75,4.555,37.5,10,40.667,3.9,51.8,4.1,0,0,3.1,5.5,0
"spring","small","high",8.3,12.5,87,4.87,22.5,27,43.5,3.3,29.5,1,2.7,3.2,2.9,9.6,0
"autumn","small","high",8,12.1,66.3,4.535,39,16,39,0.8,54.4,3.4,1.2,0,18.7,2,0
"winter","small","low",NA,12.6,9,0.23,10,5,6,1.1,35.5,0,0,0,0,0,0
"spring","small","medium",7.6,9.6,15,3.02,40,27,121,2.8,89.8,0,0,0,0,0,0
"autumn","small","medium",7.29,11.21,17.75,3.07,35,13,20.812,12.1,24.8,7.4,0,2.5,10.6,17.1,3.2
"winter","small","medium",7.6,10.2,32.3,4.508,192.5,12.75,49.333,7.9,0,0,0,4.6,1.2,0,3.9
"summer","small","medium",8,7.9,27.233,1.651,28.333,7.3,22.9,4.5,39.1,0,1.2,2.2,5.4,1.5,3.2
"winter","small","high",7.9,11,6.167,1.172,18.333,7.75,11.8,0.5,81.9,0,0,0,0,0,0
"spring","small","high",7.9,9,5.273,0.91,33.636,9,11.818,0.8,54,0,0,2.4,0,0,0
"winter","small","high",6.6,10.8,NA,3.245,10,1,6.5,NA,24.3,0,0,0,0,0,0
"spring","small","medium",5.6,11.8,NA,2.22,5,1,1,NA,82.7,0,0,0,0,0,0
"autumn","small","medium",5.7,10.8,NA,2.55,10,1,4,NA,16.8,4.6,3.9,11.5,0,0,0
"spring","small","high",6.6,9.5,NA,1.32,20,1,6,NA,46.8,0,0,28.8,0,0,0
"summer","small","high",6.6,10.8,NA,2.64,10,2,11,NA,46.9,0,0,13.4,0,0,0
"autumn","small","medium",6.6,11.3,NA,4.17,10,1,6,NA,47.1,0,0,0,0,1.2,0
"spring","small","medium",6.5,10.4,NA,5.97,10,2,14,NA,66.9,0,0,0,0,0,0
"summer","small","medium",6.4,NA,NA,NA,NA,NA,14,NA,19.4,0,0,2,0,3.9,1.7
"autumn","small","high",7.83,11.7,4.083,1.328,18,3.333,6.667,NA,14.4,0,0,0,0,0,0
"spring","small","high",7.57,10.8,4.575,1.203,27.5,2,6.75,1,20.3,4.3,5.5,0,0,0,1.4
"summer","small","high",7.19,11.7,4.326,1.474,160,2.5,7.2,0.3,15.8,1.7,7.8,0,0,2.4,1.4
