category	population_1999	population_2019
small	4590	5090
small	5210	7090
small	6030	7710
small	6580	8120
small	7300	7320
small	7940	6780
small	7960	10050
small	8430	11060
small	8750	12140
small	9080	12480
small	17330	21740
small	17470	22640
small	17660	25000
small	18990	23170
small	20520	27710
small	21130	27840
small	21220	22650
small	21640	25000
small	29500	37120
small	29830	39120
small	29930	31160
small	30900	34100
small	35520	45800
small	35520	48280
small	39980	37120
small	40940	49040
small	42880	52250
small	43360	46480
small	58080	63730
medium	80720	81750
medium	90480	106190
medium	103190	110110
medium	193340	243390
medium	196320	293480
medium	253200	244800
large	2869350	3652020
large	3009490	3742940
