"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Cheers to the powerhouses of DT! Thanks for raising each other up so we all shine brighter #InternationalWomensDay‚Ä¶ https://t.co/bBydXXCTf1",FALSE,14,NA,2018-03-08 15:55:58,TRUE,NA,"971776550315200512",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DAVIDsTEA",2,FALSE,FALSE,NA,NA
"2","#WednesdayWisdom https://t.co/1W5a4xoTNd",FALSE,82,NA,2018-03-08 00:00:23,FALSE,NA,"971536067034836992",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","DAVIDsTEA",23,FALSE,FALSE,NA,NA
"3","@vnleblanc Hi Vanessa! The silver bags are not recylable but our silver tins are.",FALSE,0,"vnleblanc",2018-03-07 21:30:21,FALSE,"971440821252907009","971498309872488449","298969194","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","DAVIDsTEA",0,FALSE,FALSE,NA,NA
"4","@ijf88 So sweet! We will definitely pass on the kind words, it'll make her day!",FALSE,0,"ijf88",2018-03-07 16:39:02,FALSE,"970691749969571846","971425000552128512","176303373","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","DAVIDsTEA",0,FALSE,FALSE,NA,NA
"5","@scoutchan Hi! When did you purchase the mug? Please send the details along with a photo of the damage to customers‚Ä¶ https://t.co/CwXueBwhCf",FALSE,0,"scoutchan",2018-03-07 16:34:06,TRUE,"970826844860805120","971423758891278336","1739908759","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","DAVIDsTEA",0,FALSE,FALSE,NA,NA
"6","@samdotm We can't tell you how sorry we are to hear this, Samantha! Did you purchase everything online?",FALSE,0,"samdotm",2018-03-07 16:33:09,FALSE,"970997651113209856","971423517085454336","22419238","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","DAVIDsTEA",0,FALSE,FALSE,NA,NA
"7","@darrenmsharp Hey Darren! Points redemption ended March 4 - but not to worry just send an email to customerservice@‚Ä¶ https://t.co/iV3N8Q5fnc",FALSE,0,"darrenmsharp",2018-03-07 16:23:42,TRUE,"971033779660886018","971421141528170497","64312352","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","DAVIDsTEA",0,FALSE,FALSE,NA,NA
"8","@Tori2shus It's part of the core collection now!",FALSE,1,"Tori2shus",2018-03-07 16:23:06,FALSE,"971040870484119552","971420988125609984","334446257","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","DAVIDsTEA",0,FALSE,FALSE,NA,NA
"9","@tamara_simpson @OkayContinue Hi Tamara! Our Grand Cru Matcha latte isn't sweetened (unless you request it to be).‚Ä¶ https://t.co/F83qrk9O1l",FALSE,0,"tamara_simpson",2018-03-07 16:22:07,TRUE,"971121766906122245","971420742243045379","408634425","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","DAVIDsTEA",0,FALSE,FALSE,NA,NA
"10","@crantina No way! This is too cool. Ì†ΩÌ∏±",FALSE,1,"crantina",2018-03-07 16:14:32,FALSE,"971127069361909760","971418833582985218","212722280","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","DAVIDsTEA",0,FALSE,FALSE,NA,NA
"11","Meet your two finalists! Vote for the winner on Facebook or Instagram Story - hurry... you have less than 24 hours!‚Ä¶ https://t.co/NAqyU3CaZp",FALSE,18,NA,2018-03-07 16:10:06,TRUE,NA,"971417716635701248",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","DAVIDsTEA",4,FALSE,FALSE,NA,NA
